Year,Month,Day_of_Week,Time_ID
2017,10,Wednesday,20171001
2017,8,Tuesday,20170801
2017,8,Thursday,20170801
2017,6,Wednesday,20170601
2018,11,Wednesday,20181101
2018,7,Friday,20180701
2018,7,Wednesday,20180701
2018,12,Friday,20181201
2016,10,Wednesday,20161001
2016,4,Monday,20160401
2017,10,Thursday,20171001
2017,2,Sunday,20170201
2017,7,Thursday,20170701
2017,5,Friday,20170501
2018,5,Sunday,20180501
2018,7,Sunday,20180701
2018,7,Thursday,20180701
2018,10,Tuesday,20181001
2018,6,Saturday,20180601
2018,5,Tuesday,20180501
2018,4,Monday,20180401
2018,10,Thursday,20181001
2018,5,Friday,20180501
2018,12,Wednesday,20181201
2018,2,Friday,20180201
2016,1,Saturday,20160101
2016,10,Friday,20161001
2016,2,Thursday,20160201
2016,3,Monday,20160301
2016,9,Friday,20160901
2017,8,Sunday,20170801
2017,1,Monday,20170101
2017,11,Sunday,20171101
2017,9,Thursday,20170901
2018,5,Monday,20180501
2018,12,Tuesday,20181201
2016,11,Tuesday,20161101
2016,9,Monday,20160901
2017,11,Friday,20171101
2018,11,Friday,20181101
2018,5,Thursday,20180501
2018,11,Monday,20181101
